Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,LotConfig,LandSlope,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,PoolArea,Fence,MiscVal,SaleType,SaleCondition,SalePrice,InternalSF,PorchDeckSF,TotalBath,TotRmsAbvGrdWithBath,InternalQual,InternalCond,HouseAge,RemodAge,GarageAge,ExterQaulScore,ExterCondScore,HeatingQCScore,KitchenQualScore,GarageQualScore,GarageCondScore,Neighborhood_Price_Bucket
1,60,RL,65.0,8450,Pave,Not Applicable,Reg,Lvl,Inside,Gtl,Norm,1Fam,2Story,7,5,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,196.0,Gd,TA,PConc,Gd,TA,No,GLQ,706,Unf,150,856,GasA,Ex,Y,SBrkr,856,854,0,1710,1,2,1,3,1,Gd,8,Typ,0,Not Applicable,Attchd,RFn,2,548,TA,TA,Y,0,Not Applicable,0,WD,Normal,208500,2566,61,3.5,10.5,17962,12830,5,5,5.0,784.0,588.0,8550,6840,1644.0,1644.0,Level_3
2,20,RL,80.0,9600,Pave,Not Applicable,Reg,Lvl,FR2,Gtl,Other,1Fam,1Story,6,8,1976,Gable,CompShg,MetalSd,MetalSd,Not Applicable,0.0,TA,TA,CBlock,Gd,TA,Gd,ALQ,978,Unf,284,1262,GasA,Ex,Y,SBrkr,1262,0,0,1262,0,2,0,3,1,TA,6,Typ,1,TA,Attchd,RFn,2,460,TA,TA,Y,0,Not Applicable,0,WD,Normal,181500,2524,298,2.5,8.0,15144,20192,31,31,31.0,0.0,0.0,6310,3786,1380.0,1380.0,Level_4
3,60,RL,68.0,11250,Pave,Not Applicable,IR1,Lvl,Inside,Gtl,Norm,1Fam,2Story,7,5,2001,Gable,CompShg,VinylSd,VinylSd,BrkFace,162.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,486,Unf,434,920,GasA,Ex,Y,SBrkr,920,866,0,1786,1,2,1,3,1,Gd,6,Typ,1,TA,Attchd,RFn,2,608,TA,TA,Y,0,Not Applicable,0,WD,Normal,223500,2706,42,3.5,8.5,18942,13530,7,6,7.0,648.0,486.0,8930,7144,1824.0,1824.0,Level_3
4,70,RL,60.0,9550,Pave,Not Applicable,IR1,Lvl,Corner,Gtl,Norm,1Fam,2Story,7,5,1915,Gable,CompShg,Wd Sdng,Wd Shng,Not Applicable,0.0,TA,TA,BrkTil,TA,Other,No,ALQ,216,Unf,540,756,GasA,Gd,Y,SBrkr,961,756,0,1717,1,1,0,3,1,Gd,7,Typ,1,Gd,Detchd,Unf,3,642,TA,TA,Y,0,Not Applicable,0,WD,Abnorml,140000,2473,307,2.0,8.0,17311,12365,91,36,8.0,0.0,0.0,6868,6868,1926.0,1926.0,Level_4
5,60,RL,84.0,14260,Pave,Not Applicable,IR1,Lvl,FR2,Gtl,Norm,1Fam,2Story,8,5,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,350.0,Gd,TA,PConc,Gd,TA,Av,GLQ,655,Unf,490,1145,GasA,Ex,Y,SBrkr,1145,1053,0,2198,1,2,1,4,1,Gd,9,Typ,1,TA,Attchd,RFn,3,836,TA,TA,Y,0,Not Applicable,0,WD,Normal,250000,3343,276,3.5,11.5,26744,16715,8,8,8.0,1400.0,1050.0,10990,8792,2508.0,2508.0,Level_4
6,50,RL,85.0,14115,Pave,Not Applicable,IR1,Lvl,Inside,Gtl,Norm,1Fam,1.5Fin,5,5,1993,Gable,CompShg,VinylSd,VinylSd,Not Applicable,0.0,TA,TA,Wood,Gd,TA,No,GLQ,732,Unf,64,796,GasA,Ex,Y,SBrkr,796,566,0,1362,1,1,1,1,1,TA,5,Typ,0,Not Applicable,Attchd,Unf,2,480,TA,TA,Y,0,MnPrv,700,WD,Normal,143000,2158,390,2.5,6.5,10790,10790,16,14,16.0,0.0,0.0,6810,4086,1440.0,1440.0,Level_2
7,20,RL,75.0,10084,Pave,Not Applicable,Reg,Lvl,Inside,Gtl,Norm,1Fam,1Story,8,5,2004,Gable,CompShg,VinylSd,VinylSd,Stone,186.0,Gd,TA,PConc,Ex,TA,Av,GLQ,1369,Unf,317,1686,GasA,Ex,Y,SBrkr,1694,0,0,1694,1,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,2,636,TA,TA,Y,0,Not Applicable,0,WD,Normal,307000,3380,312,3.0,9.0,27040,16900,3,2,3.0,744.0,558.0,8470,6776,1908.0,1908.0,Level_4
8,60,RL,69.0,10382,Pave,Not Applicable,IR1,Lvl,Corner,Gtl,Other,1Fam,2Story,7,6,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,TA,TA,CBlock,Gd,TA,Mn,ALQ,859,Other,216,1107,GasA,Ex,Y,SBrkr,1107,983,0,2090,1,2,1,3,1,TA,7,Typ,2,TA,Attchd,RFn,2,484,TA,TA,Y,0,Not Applicable,350,WD,Normal,200000,3197,667,3.5,9.5,22379,19182,36,36,36.0,720.0,720.0,10450,6270,1452.0,1452.0,Level_3
9,50,RM,51.0,6120,Pave,Not Applicable,Reg,Lvl,Inside,Gtl,Other,1Fam,1.5Fin,7,5,1931,Gable,CompShg,BrkFace,Wd Shng,Not Applicable,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,952,952,GasA,Gd,Y,FuseF,1022,752,0,1774,0,2,0,2,2,TA,8,Other,2,TA,Detchd,Unf,2,468,Other,TA,Y,0,Not Applicable,0,WD,Abnorml,129900,2726,295,2.0,10.0,19082,13630,77,58,77.0,0.0,0.0,7096,5322,936.0,1404.0,Level_1
10,190,RL,50.0,7420,Pave,Not Applicable,Reg,Lvl,Corner,Gtl,Other,2fmCon,1.5Unf,5,6,1939,Gable,CompShg,MetalSd,MetalSd,Not Applicable,0.0,TA,TA,BrkTil,TA,TA,No,GLQ,851,Unf,140,991,GasA,Ex,Y,SBrkr,1077,0,0,1077,1,1,0,2,2,TA,5,Typ,2,TA,Attchd,RFn,1,205,Other,TA,Y,0,Not Applicable,0,WD,Normal,118000,2068,4,2.0,6.0,10340,12408,69,58,69.0,0.0,0.0,5385,3231,820.0,615.0,Level_1
