OverallQual,YearBuilt,MasVnrArea,TotalBsmtSF,1stFlrSF,GrLivArea,FullBath,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,SalePrice,SalePrice_log,InternalSF,TotalBath,TotRmsAbvGrdWithBath,OverallScore,InternalScore,HouseAge,ExterQaulScore,HeatingQCScore,KitchenQualScore,GarageQualScore,ExterQual_Gd,ExterQual_TA,Foundation_PConc,BsmtQual_Ex,BsmtQual_TA,BsmtFinType1_GLQ,HeatingQC_Ex,KitchenQual_Ex,KitchenQual_Gd,KitchenQual_TA,FireplaceQu_Not Applicable,GarageType_Attchd,GarageFinish_Fin,GarageFinish_Unf,Neighborhood_Price_Bucket_Level_1,Neighborhood_Price_Bucket_Level_4
7,2003,196.0,856,856,1710,2,8,0,2,548,208500,12.247694320220994,2566,3.5,10.5,35,17962,5,784.0,8550,6840,1644.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
6,1976,0.0,1262,1262,1262,2,6,1,2,460,181500,12.109010932687042,2524,2.5,8.0,48,15144,31,0.0,6310,3786,1380.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
7,2001,162.0,920,920,1786,2,6,1,2,608,223500,12.31716669303576,2706,3.5,8.5,35,18942,7,648.0,8930,7144,1824.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7,1915,0.0,756,961,1717,1,7,1,3,642,140000,11.84939770159144,2473,2.0,8.0,35,17311,91,0.0,6868,6868,1926.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
8,2000,350.0,1145,1145,2198,2,9,1,3,836,250000,12.429216196844385,3343,3.5,11.5,40,26744,8,1400.0,10990,8792,2508.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
5,1993,0.0,796,796,1362,1,5,0,2,480,143000,11.870599909242044,2158,2.5,6.5,25,10790,16,0.0,6810,4086,1440.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
8,2004,186.0,1686,1694,1694,2,7,1,2,636,307000,12.634603026569334,3380,3.0,9.0,40,27040,3,744.0,8470,6776,1908.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
7,1973,240.0,1107,1107,2090,2,7,2,2,484,200000,12.206072645530174,3197,3.5,9.5,42,22379,36,720.0,10450,6270,1452.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
7,1931,0.0,952,1022,1774,2,8,2,2,468,129900,11.77452020265869,2726,2.0,10.0,35,19082,77,0.0,7096,5322,936.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
5,1939,0.0,991,1077,1077,1,5,2,1,205,118000,11.6784399034478,2068,2.0,6.0,30,10340,69,0.0,5385,3231,820.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
5,1965,0.0,1040,1040,1040,1,5,0,1,384,129500,11.771436160121729,2080,2.0,6.0,25,10400,43,0.0,5200,3120,1152.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
9,2005,286.0,1175,1182,2324,3,11,2,3,736,345000,12.751299696013495,3499,4.0,14.0,45,31491,1,1430.0,11620,11620,2208.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
5,1962,0.0,912,912,912,1,4,0,1,352,144000,11.877568578558138,1824,2.0,5.0,30,9120,46,0.0,2736,2736,1056.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
7,2006,306.0,1494,1494,1494,2,7,1,3,840,279500,12.540757571577291,2988,2.0,9.0,35,20916,1,1224.0,7470,5976,2520.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6,1960,212.0,1253,1253,1253,1,5,1,1,352,157000,11.964001084330445,2506,2.5,6.5,30,15036,48,636.0,3759,3759,1056.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
7,1929,0.0,832,854,854,1,5,0,2,576,132000,11.790557201568507,1686,1.0,6.0,56,11802,78,0.0,4270,2562,1728.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
6,1970,180.0,1004,1004,1004,1,5,1,2,480,149000,11.911701584927595,2008,2.0,6.0,42,12048,40,540.0,5020,3012,1440.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
